id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2020s,euphoric|bright|upbeat
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,74,2020s,mellow|dreamy|focused
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,81,2010s,aggressive|driving|raw
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,67,2020s,peaceful|soft|mellow
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020s,driving|energetic|upbeat
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,62,2020s,cosmic|dreamy|calm
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,70,2010s,warm|smooth|romantic
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,79,2020s,nostalgic|cinematic|dark
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,71,2020s,minimal|calm|focused
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,83,2020s,bright|breezy|upbeat
11,Desert Frequencies,Sand Circuits,electronic,intense,0.88,140,0.42,0.91,0.04,77,2020s,driving|dark|hypnotic
12,Velvet Underground Walk,Echo Chamber,r&b,relaxed,0.55,96,0.78,0.69,0.44,80,2010s,smooth|sensual|soulful
13,Monsoon Letters,Priya Nair,classical,melancholic,0.22,68,0.38,0.20,0.97,65,2010s,tender|sad|peaceful
14,Favela Funk,Ritmo Livre,funk,happy,0.89,128,0.91,0.95,0.06,86,2020s,euphoric|playful|upbeat
15,Pine Tree Radio,The Wanderers,folk,nostalgic,0.34,104,0.72,0.43,0.88,68,2010s,warm|tender|breezy
16,Neon Gospel,Chrome Saints,gospel,uplifting,0.72,108,0.93,0.74,0.38,75,2020s,euphoric|warm|soulful
17,Subzero Drift,Coldframe,metal,angry,0.97,168,0.21,0.52,0.03,72,2010s,aggressive|raw|dark
18,Havana Daydream,Trio Soleil,latin,happy,0.79,116,0.88,0.87,0.27,84,2020s,bright|romantic|breezy
19,Watercolor Mind,Haze Monroe,dream pop,nostalgic,0.48,98,0.68,0.55,0.62,73,2020s,dreamy|soft|cinematic
20,Terminal Bloom,Axiom,jazz,focused,0.61,102,0.64,0.66,0.57,76,2020s,smooth|minimal|calm